id,name,機構統一編號,資料來源系統代號,資料來源系統,原機構代碼,主類別,次類別,address,許可狀態
AAZ00001245,臺北市立啟聰學校,3771706,C01,無來源系統,,T01,T0199,臺北市大同區重慶北路3段320號,C04
AAZ00002361,國立臺灣科學教育館,3734105,C01,無來源系統,,T01,T0199,臺北市士林區士商路189號,C04
ABA00000736,銘傳大學,29902801,C01,無來源系統,,T02,T0201,臺北市士林區中山北路五段250號,C04
ABA00001889,中國文化大學,29903203,C01,無來源系統,,T02,T0201,臺北市士林區華岡路55號,C04
ABA00004552,國立臺灣大學,3734301,C01,無來源系統,,T02,T0201,臺北市大安區羅斯福路四段1號,C04
ABB00001040,國立政治大學,3807654,C01,無來源系統,,T02,T0202,臺北市文山區指南路二段64號,C04
ABB00003020,臺北城市科技大學,29902611,C01,無來源系統,,T02,T0202,臺北市北投區學園路2號,C04
ABB00345940,財團法人臺北醫學大學,3724606,C10,社區照顧關懷網,,T02,T0202,臺北市信義區吳興街250號,C04
ABC00001229,臺北市青少年發展暨家庭教育中心,38634320,C01,無來源系統,,T02,T0203,臺北市中正區仁愛路一段17號,C04
ADA00001797,國立臺灣大學醫學院附設醫院北護分院,3787502,C01,無來源系統,,T04,T0401,臺北市萬華區內江街87號,C04
ADA00003218,國立臺灣大學醫學院附設醫院癌醫中心分院,73651964,C01,無來源系統,,T04,T0401,臺北市大安區基隆路三段155巷57號,C04
ADA00003902,國立臺灣大學醫學院附設醫院,3753600,C01,無來源系統,,T04,T0401,臺北市中正區臺北市中正區中山南路７、８號；常德街１號,C04
ADA00003911,國立臺灣大學醫學院附設醫院兒童醫院,3753600,C01,無來源系統,,T04,T0401,臺北市中正區臺北市中正區中山南路8號,C04
ADA00004523,醫療財團法人辜公亮基金會和信治癌中心醫院,1053601,C01,無來源系統,1101160026,T04,T0401,臺北市北投區立德路125號,C04
ADA00004578,臺北市立萬芳醫院,97992625,C01,無來源系統,,T04,T0401,臺北市文山區興隆路三段111號,C04
ADA00004596,中國醫藥大學附設醫院臺北分院,10357942,C01,無來源系統,1301110511,T04,T0401,臺北市內湖區內湖路二段360、362號,C04
ADA00004640,國泰醫療財團法人國泰綜合醫院,4129719,C01,無來源系統,,T04,T0401,臺北市大安區仁愛路四段280號,C04
ADA00004668,振興醫療財團法人振興醫院,31006654,C01,無來源系統,1101160017,T04,T0401,臺北市北投區振興街45號,C04
ADA00004677,臺北市立聯合醫院,99958172,C01,無來源系統,,T04,T0401,臺北市大同區鄭州路145號,C04
ADA00004677,臺北市立聯合醫院,99958172,C01,無來源系統,,T04,T0401,臺北市大同區鄭州路145號,C04
ADA00004677,臺北市立聯合醫院,99958172,C01,無來源系統,,T04,T0401,臺北市大同區鄭州路145號,C04
ADA00004677,臺北市立聯合醫院,99958172,C01,無來源系統,,T04,T0401,臺北市大同區鄭州路145號,C04
ADA00004686,新光醫療財團法人新光吳火獅紀念醫院,1055919,C01,無來源系統,,T04,T0401,臺北市士林區文昌路95號,C04
ADA00004703,臺北榮民總醫院,29906905,C01,無來源系統,,T04,T0401,臺北市北投區石牌路二段201號,C04
ADA00004749,三軍總醫院松山分院附設民眾診療服務處,4171321,C01,無來源系統,501010019,T04,T0401,臺北市松山區健康路131號,C04
ADA00004785,中心診所醫療財團法人中心綜合醫院,4121478,C01,無來源系統,1101020027,T04,T0401,臺北市大安區忠孝東路4段77號,C04
ADA00004956,康寧醫療財團法人康寧醫院,92025801,C01,無來源系統,,T04,T0401,臺北市內湖區成功路五段420巷26號,C04
ADA00004965,國防醫學院三軍總醫院附設民眾診療服務處,4125805,C01,無來源系統,,T04,T0401,臺北市內湖區成功路二段325號,C04
ADA00004983,基督復臨安息日會醫療財團法人臺安醫院,4076608,C01,無來源系統,1101010021,T04,T0401,臺北市松山區八德路二段424號,C04
ADA00005216,臺北醫學大學附設醫院,4164665,C01,無來源系統,,T04,T0401,臺北市信義區吳興街252號,C04
ADA00346038,臺北榮民總醫院失智治療及研究中心,29906905,C12,失智照護管理系統,,T04,T0401,臺北市北投區石牌路二段201號,C04
ADA00346696,臺北市立聯合醫院神經內科,99958172,C12,失智照護管理系統,,T04,T0401,臺北市士林區忠義街92號1樓,C04
ADA00346849,台北長庚紀念醫院,25603268,C01,無來源系統,,T04,T0401,臺北市松山區敦化北路199號,C04
ADZ00004177,愛迪樂物理治療所,74713566,C01,無來源系統,QY01100085,T04,T0499,臺北市中山區民生東路二段127巷19號1樓,C04
ADZ00004348,沐晨職能治療所,74703687,C01,無來源系統,,T04,T0499,臺北市內湖區安泰街125巷19號5樓,C04
ADZ00346141,新康居家職能治療所,72955172,C12,失智照護管理系統,,T04,T0499,臺北市士林區重慶北路四段248號305室,C04
ADZ00346754,大心居家職能治療所,73693628,C12,失智照護管理系統,,T04,T0499,臺北市士林區通河西街二段１０６號一樓,C04
ADZ00346763,營佳營養諮詢中心,88324807,C12,失智照護管理系統,,T04,T0499,臺北市大安區大安路一段176巷10號,C04
AEA00007673,三軍總醫院松山分院附設民眾診療服務處附設護理之家,,C03,醫事管理系統,7101010018,T05,T0501,臺北市松山區健康路131號健康長青樓3、4樓,C04
AEA00007682,臺北市立聯合醫院附設忠孝護理之家,,C03,醫事管理系統,7101120019,T05,T0501,臺北市南港區同德路87號6樓,C04
AEA00007691,臺北市立聯合醫院附設和平婦幼護理之家,,C03,醫事管理系統,7101180024,T05,T0501,臺北市中正區中華路二段33號B棟9樓,C04
AEA00007952,康寧醫療財團法人附設康寧護理之家,,C03,醫事管理系統,7301110017,T05,T0501,臺北市內湖區成功路5段420巷26號6、7樓,C04
AEA00007961,臺北市立萬芳醫院委託財團法人臺北醫學大學辦理附設護理之家,,C03,醫事管理系統,7301200025,T05,T0501,臺北市文山區興隆路三段111號12樓,C04
AEA00008258,鵬程護理之家,,C03,醫事管理系統,7401011619,T05,T0501,臺北市松山區健康路399號及399號2樓,C04
AEA00008267,吉翔護理之家,,C03,醫事管理系統,7401090021,T05,T0501,臺北市大同區甘州街55號4、7、8樓,C04
AEA00008276,大稻埕護理之家,,C03,醫事管理系統,7401090030,T05,T0501,臺北市大同區環河北路1段73.75.77.79號1.2樓,C04
AEA00008285,頤園護理之家,,C03,醫事管理系統,7401151403,T05,T0501,臺北市士林區重慶北路4段138、140及142號1-4樓,C04
AEA00008294,陽明常春護理之家,,C03,醫事管理系統,7401151412,T05,T0501,臺北市士林區格致路7號2樓,C04
AEA00008302,重建樂活護理之家,,C03,醫事管理系統,7401201088,T05,T0501,臺北市文山區萬美街1段19巷3號1樓,C04
AEA00008311,景美醫院附設護理之家,,C03,醫事管理系統,7401201131,T05,T0501,臺北市文山區萬慶街18號3、4樓,C04
AEA00012299,臺北市立聯合醫院附設仁愛護理之家,,C03,醫事管理系統,7501021028,T05,T0501,臺北市大安區仁愛路四段10號南棟4樓,C04
AEA00012307,臺北市立聯合醫院附設陽明護理之家,,C03,醫事管理系統,7501151021,T05,T0501,臺北市士林區雨聲街105號7樓,C04
AEA00012316,臺北市立關渡醫院委託臺北榮民總醫院經營附設護理之家,,C03,醫事管理系統,7501161045,T05,T0501,臺北市北投區知行路225巷12號6、12樓,C04
AEA00012325,三軍總醫院附設護理之家,,C03,醫事管理系統,7501181056,T05,T0501,臺北市中正區汀州路3段40號4-9樓,C04
AEA00012334,國立臺灣大學醫學院附設醫院北護分院附設護理之家,,C03,醫事管理系統,7501190037,T05,T0501,臺北市萬華區內江街87號7、8、9樓,C04
AEA00012622,百齡診所附設護理之家,,C03,醫事管理系統,7601150017,T05,T0501,臺北市士林區重慶北路四段一八七號,C04
AEA00012884,臺北市立聯合醫院附設林森中醫居家護理所,,C03,醫事管理系統,7101100026,T05,T0501,臺北市中山區林森北路530號6樓,C04
AEA00012893,稻香居家護理所,,C03,醫事管理系統,7101160031,T05,T0501,臺北市北投區稻香路81號6樓,C04
AEA00013360,財團法人獎卿護理展望基金會大台北居家護理所,,C03,醫事管理系統,7201020025,T05,T0501,臺北市大安區和平東路一段２１６號十樓,C04
AEA00013379,同仁院醫療財團法人附設居家護理所,,C03,醫事管理系統,7201190013,T05,T0501,臺北市萬華區中華路2段606巷6號6樓,C04
AEA00013522,基督復臨安息日會醫療財團法人附設臺安居家護理所,,C03,醫事管理系統,7301010012,T05,T0501,臺北市松山區八德路2段400號5樓,C04
AEA00013531,國泰醫療財團法人附設居家護理所,,C03,醫事管理系統,7301020018,T05,T0501,臺北市大安區仁愛路四段376號11樓,C04
AEA00013540,迦和居家護理所,,C03,醫事管理系統,7301100011,T05,T0501,臺北市中山區建國北路二段119號3樓,C04
AEA00013559,新光醫療財團法人附設新光居家護理所,,C03,醫事管理系統,7301150011,T05,T0501,臺北市士林區文昌路95號,C04
AEA00013568,振興醫療財團法人附設振興居家護理所,,C03,醫事管理系統,7301160017,T05,T0501,臺北市北投區振興街45號,C04
AEA00013577,臺北市立萬芳醫院─委託財團法人臺北醫學大學辦理附設居家護理所,,C03,醫事管理系統,7301200016,T05,T0501,臺北市文山區萬美街一段25號B1,C04
AEA00013928,博仁綜合醫院附設居家護理所,,C03,醫事管理系統,7401011333,T05,T0501,臺北市松山區光復北路66號6樓,C04
AEA00013937,臺北市私立幸福時光居家護理所,,C03,醫事管理系統,7401021393,T05,T0501,臺北市大安區永康街75巷1號1樓,C04
AEA00013946,吉馨安居家護理所,,C03,醫事管理系統,7401090085,T05,T0501,臺北市大同區甘州街51號4樓,C04
AEA00013955,共護家居家護理所,,C03,醫事管理系統,7401090129,T05,T0501,臺北市大同區西寧北路86巷9號2樓之1,C04
AEA00013964,承德居家護理所,,C03,醫事管理系統,7401090156,T05,T0501,臺北市大同區承德路一段17號7樓之9,C04
AEA00013973,安歆居家護理所,,C03,醫事管理系統,7401101467,T05,T0501,臺北市中山區松江路50號3樓,C04
AEA00013982,溫邸家居家護理所,,C03,醫事管理系統,7401101556,T05,T0501,臺北市中山區新生北路二段72巷23號1樓,C04
AEA00013991,臺北市蕭中正居家護理所,,C03,醫事管理系統,7401101609,T05,T0501,臺北市中山區松江路2號3樓之3、4,C04
AEA00014008,成功居家護理所,,C03,醫事管理系統,7401111034,T05,T0501,臺北市內湖區大湖山莊街219巷34弄1號2樓之4,C04
AEA00014017,康健居家護理所,,C03,醫事管理系統,7401111258,T05,T0501,臺北市內湖區民權東路6段180巷6號11樓之19,C04
AEA00014026,好運居家護理所,,C03,醫事管理系統,7401111267,T05,T0501,臺北市內湖區民權東路6段266號6樓,C04
AEA00014035,新聯寬居家護理所,,C03,醫事管理系統,7401111276,T05,T0501,臺北市內湖區民權東路6段123巷18號4樓之1,C04
AEA00014044,全心居家護理所,,C03,醫事管理系統,7401111294,T05,T0501,臺北市內湖區石潭路27號3樓之2,C04
AEA00014053,臺北市獨立型態南港居家護理所,,C03,醫事管理系統,7401120033,T05,T0501,臺北市南港區福德街373巷39號1樓,C04
AEA00014062,臺北市獨立型態成福居家護理所,,C03,醫事管理系統,7401120042,T05,T0501,臺北市南港區成福路204號4樓之3,C04
AEA00014071,宜寧居家護理所,,C03,醫事管理系統,7401151298,T05,T0501,臺北市士林區承德路4段235號9樓,C04
AEA00014080,育幸福居家護理所,,C03,醫事管理系統,7401161810,T05,T0501,臺北市北投區大同街301號,C04
AEA00014099,全佳居家護理所,,C03,醫事管理系統,7401161865,T05,T0501,臺北市北投區中和街40號6樓之45,C04
AEA00014107,財團法人私立台北醫學大學附設醫院附設居家護理所,,C03,醫事管理系統,7401170542,T05,T0501,臺北市信義區莊敬路330號5樓,C04
AEA00014116,信慈居家護理所,,C03,醫事管理系統,7401170640,T05,T0501,臺北市信義區忠孝東路5段410號7樓,C04
AEA00014125,庭安居家護理所,,C03,醫事管理系統,7401181241,T05,T0501,臺北市中正區衡陽路36號11樓,C04
AEA00014134,泰安居家護理所,,C03,醫事管理系統,7401181358,T05,T0501,臺北市中正區泉州街14-1號,C04
AEA00014143,永愛居家護理所,,C03,醫事管理系統,7401181410,T05,T0501,臺北市中正區福州街1號10樓之2,C04
AEA00014152,合康居家護理所,,C03,醫事管理系統,7401191041,T05,T0501,臺北市萬華區和平西路三段396號1樓105室,C04
AEA00014161,愛吾愛居家護理所,,C03,醫事管理系統,7401191069,T05,T0501,臺北市萬華區大理街171-1號2樓208室,C04
AEA00014170,閤家福居家護理所,,C03,醫事管理系統,7401201113,T05,T0501,臺北市文山區萬壽路75巷29號6樓,C04
AEA00014189,景美醫院附設居家護理,,C03,醫事管理系統,7401201140,T05,T0501,臺北市文山區萬慶街13巷9號1樓,C04
AEA00014198,澄歆居家護理所,,C03,醫事管理系統,7401201159,T05,T0501,臺北市文山區景文街1號11樓之7,C04
AEA00014206,興隆樂活居家護理所,,C03,醫事管理系統,7401201168,T05,T0501,臺北市文山區興隆路2段96巷2-2號1樓,C04
AEA00014215,前瞻居家護理所,,C03,醫事管理系統,7401201177,T05,T0501,臺北市文山區辛亥路4段21巷10號9樓,C04
AEA00014224,北斗星居家護理所,,C03,醫事管理系統,7401201186,T05,T0501,臺北市文山區景文街42號3樓309R,C04
AEA00018455,三軍總醫院松山分院附設民眾診療服務處附設居家護理所,,C03,醫事管理系統,7501010516,T05,T0501,臺北市松山區健康路131號,C04
AEA00018464,臺北市立聯合醫院附設仁愛居家護理所,,C03,醫事管理系統,7501020012,T05,T0501,臺北市大安區仁愛路四段十號,C04
AEA00018473,臺北市立聯合醫院附設中興居家護理所,,C03,醫事管理系統,7501090014,T05,T0501,臺北市大同區鄭州路145號,C04
AEA00018482,三軍總醫院附設民眾診療服務處附設居家護理所,,C03,醫事管理系統,7501110511,T05,T0501,臺北市內湖區成功路二段325號,C04
AEA00018491,臺北市立聯合醫院附設忠孝居家護理所,,C03,醫事管理系統,7501120017,T05,T0501,臺北市南港區同德路８７號,C04
AEA00018509,臺北市立聯合醫院附設陽明居家護理所,,C03,醫事管理系統,7501150015,T05,T0501,臺北市士林區雨聲街105號6樓,C04
AEA00018518,臺北榮民總醫院附設居家護理所,,C03,醫事管理系統,7501160011,T05,T0501,臺北市北投區石牌路二段２０１號,C04
AEA00018527,臺北市立關渡醫院委託臺北榮民總醫院經營附設居家護理,,C03,醫事管理系統,7501161027,T05,T0501,臺北市北投區知行路225巷12號,C04
AEA00018536,臺北市立聯合醫院附設和平婦幼居家護理所,,C03,醫事管理系統,7501180022,T05,T0501,臺北市中正區中華路二段33號,C04
AEA00018545,國立臺灣大學醫學院附設醫院北護分院附設居家護理所,,C03,醫事管理系統,7501190019,T05,T0501,臺北市萬華區康定路37號,C04
AEA00019616,財團法人臺灣省私立臺北仁濟院附設仁濟醫院附設居家護理所,,C03,醫事管理系統,7601190511,T05,T0501,臺北市萬華區廣州街243號,C04
AEA00019814,台灣基督長老教會馬偕醫療財團法人附設馬偕居家護理所,,C03,醫事管理系統,7701100019,T05,T0501,臺北市中山區中山北路二段96巷9號1-3樓,C04
AEA00019823,康寧醫療財團法人附設康寧居家護理所,,C03,醫事管理系統,7701110015,T05,T0501,臺北市內湖區成功路五段420巷26號2樓,C04
AED00007634,中崙諮商中心心理諮商所,31814516,C03,醫事管理系統,XY01020052,T05,T0504,臺北市大安區忠孝東路3段54號4樓之1,C04
AFA00315454,臺北市私立美樺居家式服務類長期照顧服務機構,72940447,C04,長照機構暨長照人員相關管理資訊系統,1X0100001,T06,T0601,臺北市中正區黎明里重慶南路1段121號5樓之10,C08
AFA00315463,社團法人台灣愛鄰社區服務協會附設臺北市私立愛鄰居家式服務類長期照顧服務機構,18478878,C04,長照機構暨長照人員相關管理資訊系統,1R0100001,T06,T0601,臺北市大安區仁愛里和平東路二段24號,C08
AFA00315472,財團法人伊甸社會福利基金會附設臺北市私立台北居家式服務類長期照顧服務機構,72952371,C04,長照機構暨長照人員相關管理資訊系統,1S0100001,T06,T0601,臺北市北投區裕民里裕民六路120號,C04
AFA00315481,愛志股份有限公司附設臺北市私立愛志居家長照機構,72951963,C04,長照機構暨長照人員相關管理資訊系統,1V0100001,T06,T0601,臺北市南港區東新里重陽路120號3樓309室,C04
AFA00315490,財團法人弘道老人福利基金會附設臺北市私立弘道居家式服務類長期照顧服務機構,72975162,C04,長照機構暨長照人員相關管理資訊系統,1S0100002,T06,T0601,臺北市松山區民福里復興北路451號,C04
AFA00315508,財團法人老五老基金會附設臺北市私立老五老居家式服務類長期照顧服務機構,20388655,C04,長照機構暨長照人員相關管理資訊系統,1S0100003,T06,T0601,臺北市北投區吉慶里石牌路1段14號3樓,C04
AFA00315517,財團法人臺北市松年長春社會福利基金會私立松年長春居家長照機構,76904822,C04,長照機構暨長照人員相關管理資訊系統,1S0100004,T06,T0601,臺北市中山區行仁里龍江路318巷5、7號1樓,C04
AFA00315526,中化銀髮事業股份有限公司附設臺北市私立中化銀髮居家式服務類長期照顧服務機構,27979276,C04,長照機構暨長照人員相關管理資訊系統,1V0100002,T06,T0601,臺北市士林區舊佳里中山北路5段699巷1號1樓,C04
AFA00315535,社團法人中國家庭教育協進會附設臺北市私立敬老居家式服務類長期照顧服務機構,14106721,C04,長照機構暨長照人員相關管理資訊系統,1R0100002,T06,T0601,臺北市中山區中山里松江路131之12號6樓,C04
AFA00315544,社團法人中華民國士林靈糧堂社會福利協會附設臺北市私立安馨居家式服務類長期照顧服務機構,42532079,C04,長照機構暨長照人員相關管理資訊系統,1R0100003,T06,T0601,臺北市士林區富光里延平北路五段83巷28弄11號,C04
AFA00315553,財團法人臺北市立心慈善基金會附設臺北市私立立心居家式服務類長期照顧服務機構,72954716,C04,長照機構暨長照人員相關管理資訊系統,1S0100005,T06,T0601,臺北市萬華區頂碩里艋舺大道120巷39弄3號,C04
AFA00315562,財團法人獎卿護理展望基金會私立臺北居家長照機構,72963840,C04,長照機構暨長照人員相關管理資訊系統,1S0100006,T06,T0601,臺北市大安區龍坡里和平東路一段216號,C04
AFA00315571,中華民國紅十字會台灣省分會附設臺北市私立紅十字居家式服務類長期照顧服務機構,3702883,C04,長照機構暨長照人員相關管理資訊系統,1N0100001,T06,T0601,臺北市大安區龍坡里新生南路三段20號,C04
AFA00315580,社團法人台北市家庭照顧者關懷協會附設臺北市私立家協居家式服務類長期照顧服務機構,18040503,C04,長照機構暨長照人員相關管理資訊系統,1R0100004,T06,T0601,臺北市大安區黎孝里和平東路三段232號,C04
AFA00315599,財團法人宜蘭縣私立力麗社會福利慈善事業基金會附設臺北市私立力麗居家式服務類長期照顧服務機構,49992219,C04,長照機構暨長照人員相關管理資訊系統,1S0100007,T06,T0601,臺北市中正區南福里和平西路一段107、109號,C04
AFA00315607,社團法人中華民國紅心字會附設臺北市私立紅心居家式服務類長期照顧服務機構,2276242,C04,長照機構暨長照人員相關管理資訊系統,1R0100005,T06,T0601,臺北市中正區黎明里重慶南路一段43號3樓之2,C04
AFA00315616,臺北市立聯合醫院居家式服務類長期照顧服務機構,99958172,C04,長照機構暨長照人員相關管理資訊系統,1U0100001,T06,T0601,臺北市大同區玉泉里鄭州路145號,C04
AFA00315625,財團法人恆安社會福利慈善事業基金會附設臺北市私立恆安居家式服務類長期照顧服務機構,88119496,C04,長照機構暨長照人員相關管理資訊系統,1S0100008,T06,T0601,臺北市大安區群賢里和平東路二段295號12樓,C04
AFA00315634,綠杏事業(股)公司附設臺北市私立萬芳居家式服務類長期照顧服務機構,72975830,C04,長照機構暨長照人員相關管理資訊系統,1V0100004,T06,T0601,臺北市文山區萬美街一段25號地下之1,C08
AFA00315643,臺北市私立仁群居家長照機構,73658707,C04,長照機構暨長照人員相關管理資訊系統,1X0100002,T06,T0601,臺北市中山區下埤里民族東路512巷12號1樓,C04
AFA00315652,財團法人天主教失智老人社會福利基金會附設臺北市私立聖若瑟居家式服務類長期照顧服務機構,73990893,C04,長照機構暨長照人員相關管理資訊系統,1S0100009,T06,T0601,臺北市萬華區保德里德昌街119號,C04
AFA00315661,有限責任臺北市育坊社區照護勞動合作社私立育坊居家長照機構,42481249,C04,長照機構暨長照人員相關管理資訊系統,1T0100001,T06,T0601,臺北市北投區中庸里大同街299號,C04
AFA00315670,臺北市私立安歆居家式服務類長期照顧服務機構,73721650,C04,長照機構暨長照人員相關管理資訊系統,1X0100003,T06,T0601,臺北市中山區興亞里松江路50號3樓,C04
AFA00315689,台灣基督長老教會馬偕醫療財團法人私立馬偕居家長照機構,42451821,C04,長照機構暨長照人員相關管理資訊系統,1U0100002,T06,T0601,臺北市中山區集英里中山北路二段96巷9號5樓,C08
AFA00315698,福田居家有限公司私立福田居家長照機構,77207021,C04,長照機構暨長照人員相關管理資訊系統,1V0100005,T06,T0601,臺北市信義區松光里忠孝東路5段492巷2號2樓,C04
AFA00315706,臺北市私立大心居家長照機構,74716162,C04,長照機構暨長照人員相關管理資訊系統,1X0100004,T06,T0601,臺北市萬華區富民里康定路348號2f-1,C04
AFA00315715,社團法人台灣多元社會福利協會私立多福居家長照機構,42529671,C04,長照機構暨長照人員相關管理資訊系統,1R0100006,T06,T0601,臺北市北投區溫泉里溫泉路68之10號,C04
AFA00315724,私立愛吾愛居家長照機構,75036901,C04,長照機構暨長照人員相關管理資訊系統,1X0100005,T06,T0601,臺北市萬華區大理街171號2樓201室,C04
AFA00321268,信馨居服有限公司附設臺北市私立信馨居家長照機構,75983778,C04,長照機構暨長照人員相關管理資訊系統,1V0100006,T06,T0601,臺北市中正區梅花里忠孝東路1段35號10樓,C08
AFA00321295,佳顧股份有限公司附設臺北市私立佳顧居家長照機構,76336363,C04,長照機構暨長照人員相關管理資訊系統,1V0100007,T06,T0601,臺北市中山區集英里中山北路2段102號11樓,C04
AFA00321402,臺北市私立愛家居家長照機構,76308697,C04,長照機構暨長照人員相關管理資訊系統,1X0100008,T06,T0601,臺北市中山區新庄里新生北路3段87巷23號,C04
AFA00321691,愛護家健康事業股份有限公司附設臺北市私立愛護家居家長照機構,76309719,C04,長照機構暨長照人員相關管理資訊系統,1V0100008,T06,T0601,臺北市中山區晴光里中山北路3段31號7樓之1,C04
AFA00321862,臺北市私立暖心居家長照機構,76305755,C04,長照機構暨長照人員相關管理資訊系統,1X0100010,T06,T0601,臺北市松山區吉祥里光復北路95號3樓311室,C04
AFA00321871,樂福健康事業有限公司附設臺北市私立樂福居家長照機構,82872833,C04,長照機構暨長照人員相關管理資訊系統,1R0100008,T06,T0601,臺北市大同區永樂里西寧北路81號5樓之2,C04
AFA00321880,財團法人中華民國佛教慈濟慈善事業基金會臺北市私立慈濟居家長照機構,76225789,C04,長照機構暨長照人員相關管理資訊系統,1S0100011,T06,T0601,臺北市萬華區莒光路222號5樓,C04
AFA00321899,臺北市私立麗康居家長照機構,88314667,C04,長照機構暨長照人員相關管理資訊系統,1X0100009,T06,T0601,臺北市大同區大有里安西街43之2號3樓之3,C04
AFA00321934,安朗生活有限公司附設私立安朗居家長照機構,50774015,C04,長照機構暨長照人員相關管理資訊系統,1R0100009,T06,T0601,臺北市松山區新聚里基隆路1段10號7樓,C08
AFA00321943,耆康實業有限公司附設臺北市私立小太陽居家長照機構,76733840,C04,長照機構暨長照人員相關管理資訊系統,1R0100010,T06,T0601,臺北市松山區自強里三民路35巷9號2樓,C04
